Vehicle_Number,Ambiant_Pressure,Canister_Controler,Current_for_Injector_Opening,Distance_Km,Lambda_Adapation,Gear_Engaged,Lambda_Control_1,Lambda_Control_2,MAF_Before_Compressor,Engine_MAF,Fuel_Mass_Adapation,Engine_Speed,Turbo_Turbine_Speed,Injection_Number,Fuel_Pressure_at_Inlet_Pump,Fuel_Pressure,Turbo_Waste_Gate_Position,Pedal_Position,Turbo_Waste_Gate_Controler,Water_Pump_Controler,Engine_Thermostat_Controler,Engine_Air_Throttle_Controler,Fuel_Pump_Delivery,Segment_Number,Injector_Adapation1,Injector_Adapation2,Injector_Adapation3,Injector_Adapation4,Injector_Adapation5,Injector_Adapation6,Injector_Adapation7,Injector_Adapation8,Injector_Adapation9,Injector_Adapation10,Injector_Adapation11,Injector_Adapation12,Injector_Adapation13,Injector_Adapation14,Injector_Adapation15,Injector_Adapation16,Injector_Adapation17,Injector_Adapation18,Injector_Adapation19,Injector_Adapation20,Current_Time_for_Injector,Pump_Adaptation_2,Ambiant_Temperature,Engine_Coolant_Tempertaure,ECU_Temperature,TUrbo_Temperature_before_Turbine,Fuel_Temperature_Before_Pump,Fuel_Temperature_at_Pump_Outlet,Fuel_Temperature_In_Rail,Engine_Inlet_Temperture,time_30_s,timestamp,Engine_Oil_Temperature,Trt,Battery_Voltage,Voltage_Boost_Injector_control,Pump_Adaptation_1,Waste_Gate_Adapatation_1,Waste_Gate_Adapatation_2,Vehicle_Speed
VF1RFA00257138714,993.3511773116834,40.79251892923183,15.139412097261525,13604,2.313232421875001,3.802054938142168,22.45415819341291,22.29208389883262,48.125747603142806,212.25859103342734,0.08477912565835753,1795.6039001887189,42808.11273812592,1.0,0.0,239.22548790675754,60.36284358583008,19.740837024626423,-2.106446277900022,80.999755859375,8.733588930476092,9.004948056831616,23.405466109941926,1.4994757810861816,460.51551369523554,0.0,453.6999999999739,493.3999999999557,0.0,453.3045952546362,0.0,465.1999999999792,517.7000000000002,0.0,454.2599150605215,0.0,458.8999999999594,448.10000000003936,0.0,455.1435990904072,0.0,490.899999999956,481.39999999995695,0.0,302.38672301198915,1.2355312284495097,27.750000000000007,89.94844092861344,84.67393835134907,707.6618803901331,27.750000000000007,53.85749077585589,68.59075890491562,51.663096993915026,173.45386161885048,1529431209,95.0,43012.048353952596,13.355239404078672,64.6212071456511,-0.002197371472784317,1.50678190541376,4.499969482421876,51.87104214720067
VF1RFA00257138714,983.6892860646633,26.9658044747952,13.751195860676049,14342,3.729486611949553,2.7513372651213825,35.469481833280284,27.061196629348913,27.080252793246434,160.07162410972634,0.07814146527500956,1338.1248114113291,17949.2947177931,1.0117953641475792,0.0,221.39315648588277,70.63101768713294,10.499825597181363,-0.9720168898850614,80.91493485995372,8.023354281885698,-1.540243191060507,21.011717138730962,1.48649019338911,453.79786539171266,0.0,0.0,0.0,0.0,462.60478827412317,0.0,0.0,0.0,0.0,459.095687278285,0.0,448.600000000058,382.72638869835373,0.0,461.3285513776293,0.0,0.0,0.0,0.0,310.54280114939985,1.3873353034567473,22.32301175288116,87.59919654655172,61.67247822589183,604.7154680964801,22.238501021880715,53.23114013731644,54.54908128425547,48.31251799086562,240.47042918687936,1530209547,87.26967103616829,91020.20241393508,13.691430064298332,64.56542271424911,-0.004233850136703369,1.4735412597656252,4.499969482421876,28.620902482512687
VF1RFA00257138714,989.8768732750708,0.08544921875,15.989329277714697,13104,1.5350341796875016,6.0,16.85384246523701,16.84550055410892,90.94503397065206,269.18126482314705,-0.275532158388354,2815.2793973141174,69361.7729336394,1.0,0.0,249.9956072136056,70.10498046849489,32.24388497922268,-0.689697265625,80.999755859375,3.482302270852578,16.849788782162825,29.705936450056623,1.5018015067147068,446.46132289955824,474.5,469.3000000000265,461.8000000000262,0.0,458.09551241365057,486.3999999999842,469.3000000000265,468.8999999999871,0.0,454.75691527870015,479.0,457.199999999974,471.8999999999866,0.0,459.7242705538794,484.6000000000155,466.8999999999875,464.1999999999737,0.0,371.1685769038374,1.335999999999899,15.750000000000002,89.64848439575134,50.238810430913446,749.3722816178503,15.750000000000002,28.9556189231625,43.31905047428469,29.210030688224876,832.9154221679945,1528962142,99.0,13980.129315427455,13.042690083437435,64.45242423382726,1.893574340312067E-5,1.5223693847656252,4.499969482421876,122.49164755977726
VF1RFA00257138714,969.3625875219805,83.77405671143863,15.170685349582454,13061,2.6809692382812504,2.803235294117647,25.74051508946646,24.76165583953661,51.22893002025498,195.35296065598558,-0.08477912565774406,2254.661911764706,41795.54119204019,1.0,0.0,239.7273642304911,68.33358997701694,23.769272163946052,-0.8929758688785888,80.999755859375,22.64935520696315,12.106727305932104,24.58674060485056,1.4980882352941176,453.9460273829054,0.0,0.0,0.0,0.0,460.03944399496095,0.0,0.0,0.0,0.0,457.37971951338085,0.0,0.0,0.0,0.0,463.06002617093753,0.0,0.0,0.0,0.0,344.4243245845109,1.3279524635758995,21.613262109147445,93.50702252612159,68.00387769896011,693.7259405042723,21.623958389413115,50.06856052637285,64.97713976147487,41.96971764567298,623.9464489643952,1528913831,94.18107740202845,11346.085102941168,12.92690371744696,64.56501385799979,-0.0015492004975499033,1.4710998535156252,4.499969482421876,44.531470588235294
VF1RFA00257138714,992.5390699566306,25.36807142582227,15.132496143249682,13917,1.2030213871595323,5.2058333333333335,25.633803423640238,24.360831738497648,57.70976755775836,227.6443907557639,-0.16955825131578717,2059.6925,45273.591784139084,1.0,0.0,239.2404978000486,65.523816587182,22.540971004657376,-0.1897700424717566,80.999755859375,6.528929845035903,12.046452849850361,25.037414114344628,1.5002777777777778,454.7027755875039,469.19999999997043,468.69999999997043,466.6999999999706,0.0,460.45291663492907,460.19999999997077,476.5,467.3000000000295,0.0,458.9614249955497,465.89999999997536,477.80000000002985,475.10000000002594,0.0,461.64150579805306,462.3000000000293,470.19999999997043,491.5,0.0,328.9362126004966,1.2473479870178132,19.5,90.00210911990472,53.088620572136435,702.5863052601298,19.5,40.74345986802385,54.66024858767644,36.89734287258464,215.912546600738,1529655493,94.8463703106479,64642.45586111112,12.78495685802658,64.48926176026792,-0.00155549571828824,1.4955139160156252,4.499969482421876,77.89583333333333
VF1RFA00257138714,990.3600829456387,99.74365234375,15.989824372759838,15249,,6.0,20.029681899641577,15.984823028673835,,302.26531091077516,,2960.3870967741937,,,,250.00189432444455,,49.21244959677419,1.5106201171875,80.999755859375,14.842699932795702,19.92399701080869,32.832796034009384,1.5161290322580645,,,,,,,,,,,,,,,,,,,,,383.6528937789526,,,,,,,,,,,1535026562,,788665.7999999983,12.898073476702509,65.05787671101446,2.553171318508023E-4,,,129.0
VF1RFA00257138714,989.0266643533787,99.74365234375,15.988167259786449,15258,,6.0,18.706906138790035,16.22970418149466,,306.76308364740567,,2944.338078291815,,,,249.97978825830393,,34.700289145907476,0.3997802734375,80.999755859375,38.945745827888686,21.714201686221084,33.07810370085349,1.4733096085409252,,,,,,,,,,,,,,,,,,,,,383.0755361098932,,,,,,,,,,,1535026816,,788920.1999999982,12.803019350533807,65.05901875644726,2.130131844686924E-4,,,128.27758007117438
VF1RFA00257138714,1003.4305745021779,92.54752022879464,15.99033928571427,15412,,6.0,16.682477678571427,15.111607142857142,,203.31268171860182,,2960.4607142857144,,,,249.9829847464157,,44.539620535714285,2.056884765625,80.999755859375,17.38909040178572,18.751188005719865,28.095895521242383,1.525,,,,,,,,,,,,,,,,,,,,,384.2051282812578,,,,,,,,,,,1535034709,,794989.9499999984,13.203125,65.09407418198492,-0.0014162187230989836,,,129.0
VF1RFA00257138714,878.3866260145778,48.29241917606144,15.458214135021056,16409,,2.70042194092827,28.257268591772153,20.371423391350213,,302.8353965365884,,2067.253164556962,,,,243.36841617199377,,32.49676539425106,-6.003435352180578,80.999755859375,7.147239330951676,14.173518957468024,30.78613190881791,1.4398734177215189,,,,,,,,,,,,,,,,,,,,,356.12651566022936,,,,,,,,,,,1535380991,,846466.9499999995,14.021945872890296,65.02250796779109,-8.119842489110971E-4,,,37.77637130801688
VF1RFA00257138714,978.3703764590421,47.67624457347211,15.420955578583168,14474,1.8096923828125013,5.599759253686428,12.960885545612966,16.25343019378417,126.92267337421451,439.18064087742727,-0.10597390707225177,2293.784231116461,115096.55801311207,1.0,0.0,242.91901688407103,35.18378804799836,34.7453748011069,-5.268949351578409,80.999755859375,22.68885015096026,16.686892962971157,36.442540071588105,1.5118868492326212,453.2044748370855,461.1999999999722,471.6999999999718,464.8999999999812,0.0,460.33238542090413,457.0,466.100000000019,486.6000000000221,0.0,458.2837616413645,446.0,478.6999999999715,484.6999999999713,0.0,462.56575345193164,482.6000000000215,460.8000000000278,495.39999999997667,0.0,326.14909623189624,1.3836593439663423,30.000000000000004,95.50049753072192,88.0,865.4850640912013,30.000000000000004,51.04016307846991,63.38973322141479,46.31670069661799,71.46268422432333,1530292212,96.91311673113515,101084.33123683414,13.66689976306359,64.65377763341988,-0.004573914374688016,1.541423367947907,4.499969482421876,93.55913331327115
